Kandidátní listina.číslo;Kandidátní listina.název;Kandidát.poř. číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;6;Funda Michal​;54;NK​;BEZPP​;řidič​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;7;Tóth Milan​;69;SPD​;SPD​;stavař​;Velké Chvalovice​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;8;Špičáková Aneta​;37;NK​;BEZPP​;výtvarnice​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;9;Musil Lukáš​;18;NK​;BEZPP​;student​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;10;Szöcs Viliam​;75;NK​;BEZPP​;technik​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;11;Kurka Pavel​;53;NK​;BEZPP​;pracovník bezpečnostní agentury​;Velké Chvalovice​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;12;Němec Pavel​;52;NK​;BEZPP​;zástupce vedoucího skladu​;Velké Chvalovice​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;13;Novotný Jakub​;25;NK​;BEZPP​;instalační technik​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;14;Vejdovská Iveta​;59;NK​;BEZPP​;vedoucí oddělení ekonomiky - České dráhy​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;15;Kopejtko Michal​;47;NK​;BEZPP​;operátor výroby​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;16;Jarošová Eliška​;28;NK​;BEZPP​;číšnice​;Velké Chvalovice​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;17;Vosmanský Jaromír​;43;NK​;BEZPP​;strojvedoucí​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;18;Vedral Milan​;42;NK​;BEZPP​;operátor výroby​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;19;Charous Pavel​;47;NK​;BEZPP​;operátor výroby​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;20;Růžička Miroslav​;69;NK​;BEZPP​;dispečer​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;21;Chrastný Milan​;66;NK​;BEZPP​;instalatér​;Pečky​
